'2014-07-14', ' USD_JPY', 'buy', ' 101.366', ' 101.535', ' 101.623', ' 101.3385', ' 101.49316147664489', 0.21099999999999852, 0.23149999999999693, 0.00549999999999784, -0.5845000000000056, 0.0, -0.5409999999999968, 0.0020824286447435805, 0.002285212258214148, 5.4171447707295316e-05, -0.00572368646536661, 0.0, -0.00529997256945802, 170.50929195211248, 95.0223902440314, 93.06928850113161, 44.00874292933154, 21.48859027885016, -7.319937402026184, -531.249446615145, -531.249446615145, 69.06851702336644, 69.06851702336644, -180.41229673719215, -68.05800949634427, -0.0029263598244184284, -0.0001526334188409014, 0.002186283170554682, 0.0009463815692189754, 101.507875, -0.08800000000000807, 6074, -149, 0, 2986, -1725, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 16.899999999999693, ' 15928.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-15', ' USD_JPY', 'hold', ' 101.5365', ' 101.6685', ' 101.75', ' 101.435', ' 101.63469635715698', 0.0, 0.3444999999999965, 0.3649999999999949, -0.15149999999999864, -0.4510000000000076, 0.0, 0.0, 0.0033999842090718536, 0.003603034445996386, -0.0014879198585739408, -0.004416394518187101, 0.0, 74.12696059461376, 74.12696059461376, 242.09102300747986, 138.37911784991184, 119.50492683070802, 74.7707134494595, -28.70928137291129, -28.70928137291129, -392.1870914717723, -392.1870914717723, 74.12696059461376, 74.12696059461376, -0.005263853081751267, -0.0016153899030766437, 0.0011619834466594944, 0.003503975284636201, 101.6305, -0.16950000000001353, 12186, 6074, -149, 0, 2986, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 13.19999999999908, ' 25255.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-16', ' USD_JPY', 'sell', ' 101.6685', ' 101.6445', ' 101.792', ' 101.6185', ' 101.70615919433675', 0.2779999999999916, 0.0, 0.32049999999999557, 0.1769999999999925, -0.17549999999999955, -0.4750000000000085, 0.0027425234174997815, 0.0, 0.003163120287394848, 0.00174440091654956, -0.0017236299351797246, -0.004651413295208149, 390.0616272526249, 390.0616272526249, 14.98558214087232, 14.98558214087232, 229.22239719977267, 130.58464996570817, 45.189861977248874, -135.4988639978138, -34.49938854055749, -34.49938854055749, -417.18706543013275, -417.18706543013275, -0.00422724244680434, -0.005498671806587759, -0.0018510698889358536, 0.0009256478303897479, 101.674875, 0.1279999999999859, -12464, 12186, 6074, -149, 0, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -2.400000000000091, ' 17799.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-17', ' USD_JPY', 'buy', ' 101.6465', ' 101.229', ' 101.6625', ' 101.089', ' 101.38263019113381', -0.3059999999999974, -0.13750000000000284, 0.0, -0.30049999999999955, -0.23850000000000193, -0.590999999999994, -0.0030137391047421816, -0.00135646392052604, 0.0, -0.0029597309156452023, -0.002350506319757577, -0.005804360636417148, -38.48856292141683, -38.48856292141683, -126.08679989217481, -126.08679989217481, 24.41150402589322, 24.41150402589322, -51.98077983654668, -82.2404611757005, -59.99998481012755, -348.2465727582603, -134.74061888042726, -134.74061888042726, 0.0, -0.008297738939613565, -0.009563970980319317, -0.005931279644123213, 101.302375, 0.34949999999999193, -15342, -12464, 12186, 6074, -149, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -41.7500000000004, ' 29979.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-18', ' USD_JPY', 'hold', ' 101.2265', ' 101.32849999999999', ' 101.4505', ' 101.1785', ' 101.35378446946993', -0.3400000000000034, -0.20650000000000546, -0.038000000000010914, 0.024999999999991473, -0.20100000000000762, -0.13900000000001, -0.0033442019898002177, -0.002033781454670857, -0.000374877301672751, 0.0002467831812325485, -0.0019797201798492817, -0.0013698967649741051, -33.809513076348836, -13.269639764284195, -3.5149372530993204, -3.5149372530993204, -2.4844689634044337, -2.4844689634044337, 52.178207489463034, -3.5743800100444005, -28.09122975000598, -57.87904903360882, -34.810117769590256, -297.2997688553409, -0.007745827192651854, 0.0, -0.007322975038206849, -0.008590451683601476, 101.32149999999999, -0.19400000000000261, 2404, -15342, -12464, 12186, 6074, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 10.199999999998965, ' 23354.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-20', ' USD_JPY', 'buy', ' 101.334', ' 101.35650000000001', ' 101.388', ' 101.3245', ' 101.35703568657874', 0.12750000000001194, -0.2879999999999825, -0.3119999999999834, 0.0, 0.032500000000013074, 0.05300000000001148, 0.0012595204931394356, -0.0028334046603602017, -0.0030687971200517705, 0.0, 0.0003207532272710619, 0.0005231803442132945, 46.643409478047964, -43.09525867592354, -151.00855849649648, -56.534099483412604, -24.920627009322125, 4.568118856791689, 50.39362142738087, 50.39362142738087, 74.79888750730179, 37.05103535527382, 57.72276084698123, 2.877568863095759, -0.0010939463374971296, -0.0045521508544488515, -0.007471638619460446, 0.0, 101.356375, 0.0, 10, 0, 2404, -15342, -12464, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 2.250000000000796, ' 1289.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-21', ' USD_JPY', 'hold', ' 101.356', ' 101.4325', ' 101.4355', ' 101.1985', ' 101.31722006441221', 0.10400000000001342, 0.20350000000000534, -0.21199999999998909, 0.0660000000000025, 0.0, 0.10850000000000648, 0.0010263647443711633, 0.0020102934929714343, -0.0020857006527651677, 0.0006511026818525104, 0.0, 0.001070822312581486, 93.38231860944157, 15.357712751397989, 59.895368806388795, -16.034276965648377, -107.20454916163641, -24.985929841404772, 126.70791713302592, 126.70791713302592, 98.73413555521707, 98.73413555521707, 115.54953589836943, 61.73351698858226, -0.0009553873504744355, -0.0003449380343459392, -0.0038057356118639625, -0.00672741249222722, 101.37475, -0.0030000000000001137, 15131, 10, 0, 2404, -15342, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 7.6500000000010004, ' 15525.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-22', ' USD_JPY', 'hold', ' 101.4325', ' 101.4865', ' 101.6095', ' 101.3335', ' 101.4833351788362', 0.0, 0.15800000000001546, 0.2575000000000074, -0.048499999999989996, 0.12000000000000455, 0.0, 0.0, 0.0015592849001022958, 0.0025437374665363425, -0.0004776677992809376, 0.0011838230579136553, 0.0, 55.43476252363962, 55.43476252363962, 113.23525248703976, 35.48861311328701, 69.31123464494793, 3.193262670602165, 52.02107134584697, 52.02107134584697, 193.78857914462787, 193.78857914462787, 55.43476252363962, 55.43476252363962, 0.0018064528866229394, -0.00042352222752985245, 0.0001872520757878676, -0.0032753879395009487, 101.479, -0.12599999999999056, 2346, 15131, 10, 0, 2404, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 5.400000000000205, ' 21584.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-23', ' USD_JPY', 'buy', ' 101.48599999999999', ' 101.522', ' 101.563', ' 101.31649999999999', ' 101.44585468035886', 0.16549999999999443, 0.0, 0.19350000000001444, -0.14649999999998897, -0.012999999999991019, 0.15550000000000352, 0.001632850384533744, 0.0, 0.001909630558036628, -0.0014409576220755591, -0.0001280346678484367, 0.0015340373792130883, 311.0231322470205, 311.0231322470205, 83.3671061391071, 83.3671061391071, 126.2867182769414, 48.72281612897242, 27.619038851100022, 110.0020135634292, 64.49909859434281, 64.49909859434281, 237.88790324484475, 237.88790324484475, 0.0019541273538352956, 0.0021568850039732678, -7.387015596445544e-05, 0.0005371177963387729, 101.480875, -0.21049999999998192, 11827, 2346, 15131, 10, 0, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 3.6000000000015575, ' 17723.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-24', ' USD_JPY', 'buy', ' 101.5235', ' 101.769', ' 101.8605', ' 101.418', ' 101.67164029934256', 0.3365000000000009, 0.4124999999999943, 0.0, 0.12450000000001182, 0.10050000000001091, 0.23400000000000887, 0.0033174771399699394, 0.004069793254502615, 0.0, 0.0012248572229684028, 0.0009885067646322205, 0.00230462402127354, 240.71719800961608, 240.71719800961608, 699.9988976394865, 699.9988976394865, 79.32201597242639, 79.32201597242639, 86.74346585391272, 114.69774232355034, 106.03171237088674, 267.35652711352185, 151.31804874585157, 151.31804874585157, 0.0, 0.0043918518810943845, 0.004595102834551677, 0.0023589203138004887, 101.704125, -0.17899999999998784, 12577, 11827, 2346, 15131, 10, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 24.550000000000693, ' 21447.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
