'2014-07-25', ' USD_JPY', 'hold', ' 101.76750000000001', ' 101.83250000000001', ' 101.94200000000001', ' 101.71549999999999', ' 101.82554433154527', 0.34600000000000364, 0.4000000000000057, 0.4759999999999991, 0.603500000000011, 0.1880000000000166, 0.1640000000000157, 0.003409320451488657, 0.003943509230276348, 0.004696294761559436, 0.00596173033419288, 0.0018495835977354073, 0.0016130856656684785, 180.7970359431088, 416.10207058404313, 267.5104356496012, 267.5104356496012, 799.9987401594195, 799.9987401594195, 129.6425231660844, 126.39194256213004, 123.34286839028199, 141.05706827444274, 126.19043613002371, 307.81001541486444, 0.004597179541564601, 0.0, 0.005018554340531485, 0.005221932114882611, 101.830625, -0.2009999999999934, 641, 12577, 11827, 2346, 15131, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 6.499999999999773, ' 19388.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-27', ' USD_JPY', 'buy', ' 101.795', ' 101.7555', ' 101.84100000000001', ' 101.753', ' 101.77921624266145', -0.013500000000007617, 0.23349999999999227, 0.26899999999999125, 0.0, 0.4270000000000067, 0.5264999999999986, -0.00013265336202583907, 0.00229999408995087, 0.00265059884812257, 0.0, 0.004214016786984972, 0.00520107874225764, 76.2711692042544, 135.75429952337933, 178.0932340392504, 188.670909082437, 152.89849532663314, 355.55286060262205, 2.8409058626041297, 2.8409058626041297, 212.13227495136448, 135.7703204715789, 116.21619595184103, 98.97489530302867, 0.0008557222738606678, 0.0021716649431230734, 0.0038375597460699124, 0.0, 101.77624999999999, 0.0, -1445, 0, 641, 12577, 11827, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -3.9500000000003865, ' 1533.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-28', ' USD_JPY', 'buy', ' 101.753', ' 101.8305', ' 101.907', ' 101.751', ' 101.82572833419823', -0.0020000000000095497, 0.061499999999995225, 0.3084999999999951, 0.47399999999998954, 0.0, 0.5020000000000095, -1.964009525455576e-05, 0.0006043097603395457, 0.0030387502216267914, 0.0046765624306284205, 0.0, 0.004954183669944878, 50.77260451540689, 117.50403587220926, 93.22031791631201, 160.6039672085722, 208.51918518490888, 218.41937928617662, 796.8491388201942, 796.8491388201942, 50.96150579390663, 50.96150579390663, 239.70579422580641, 163.72990430753586, 0.0018299071764828108, 0.0015934138892577951, 0.002910326488403054, 0.004577449157265947, 101.82974999999999, -0.0764999999999958, 333, -1445, 0, 641, 12577, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 7.750000000000057, ' 17343.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-29', ' USD_JPY', 'buy', ' 101.8305', ' 102.0745', ' 102.161', ' 101.82050000000001', ' 102.02885504004773', 0.0, 0.24199999999999022, 0.305499999999995, 0.6419999999999959, 0.7179999999999893, 0.0, 0.0, 0.002376451525789804, 0.003001896451768171, 0.006329332314593409, 0.007083906804200907, 0.0, 74.59616017733826, 74.59616017733826, 158.49882626982682, 204.7884403027149, 148.36154839287062, 241.4482194110632, 369.62009720669806, 369.62009720669806, 1181.1005022038446, 1181.1005022038446, 74.59616017733826, 74.59616017733826, 0.008352349623131724, 0.004230430569288126, 0.00399337061134969, 0.005313438715713831, 102.032625, -0.1629999999999967, 11546, 333, -1445, 0, 641, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 24.399999999999977, ' 23472.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-30', ' USD_JPY', 'sell', ' 102.076', ' 102.8475', ' 103.106', ' 102.037', ' 102.61707585173988', 1.0919999999999987, 0.0, 1.0149999999999864, 1.36099999999999, 1.414999999999992, 1.4909999999999854, 0.010731606645341027, 0.0, 0.009967348341639322, 0.013410650677676241, 0.013950163902102304, 0.014710452709002238, 1243.7485866492152, 1243.7485866492152, 75.81851489069076, 75.81851489069076, 499.7790287950984, 481.30829532230746, 548.5505258874965, 1214.250747611729, 695.7802971390892, 695.7802971390892, 2398.421419808601, 2398.421419808601, 0.014990846602880784, 0.01598850131879202, 0.01183536738338034, 0.011596512194042423, 102.70949999999999, -0.34499999999999886, 18445, 11546, 333, -1445, 0, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 77.15000000000032, ' 35721.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-31', ' USD_JPY', 'sell', ' 102.8475', ' 102.7755', ' 103.006', ' 102.726', ' 102.83230461221149', 0.9449999999999932, 1.019999999999996, 0.0, 1.2534999999999883, 1.2889999999999873, 1.3429999999999893, 0.009280127270316784, 0.010024028185208624, 0.0, 0.012347077480742975, 0.012701196710892456, 0.013240332240652545, 656.7303482498047, 656.7303482498047, 1161.9304978061389, 1161.9304978061389, 17.678565114796232, 17.678565114796232, 591.8861696201883, 593.2501038532787, 522.4635788175485, 1157.633304512225, 665.4005631220992, 665.4005631220992, 0.0, 0.014280286395239275, 0.015277242687372143, 0.011127016218290221, 102.82075, 0.47999999999998977, -18178, 18445, 11546, 333, -1445, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -7.200000000000273, ' 28121.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-01', ' USD_JPY', 'hold', ' 102.775', ' 102.6105', ' 103.072', ' 102.3375', ' 102.71419817098405', 0.5360000000000014, 0.7800000000000011, 0.855000000000004, 0.8414999999999964, 1.0884999999999962, 1.1239999999999952, 0.005251066622907792, 0.007659787588198046, 0.008402494214072007, 0.008268726232939267, 0.010721813991056088, 0.011075364703679752, 232.01167929172755, 585.8011918157171, 550.9611852813189, 550.9611852813189, 974.4307108741048, 974.4307108741048, 269.4914645217047, 419.0405111345687, 524.9490770997454, 527.8034694050572, 462.680991782256, 1027.884997409207, 0.012372171493688027, 0.0, 0.012651919252727621, 0.0136472749903684, 102.657625, 1.0114999999999839, -9302, -18178, 18445, 11546, 333, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -16.450000000000387, ' 36249.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-03', ' USD_JPY', 'hold', ' 102.5585', ' 102.576', ' 102.627', ' 102.5095', ' 102.5709922425952', -0.19950000000000045, -0.2715000000000032, 0.501499999999993, 0.0, 0.7434999999999832, 0.806999999999988, -0.0019411241005881797, -0.0026398308174725026, 0.004913078192888458, 0.0, 0.007301205410846077, 0.00792972319665112, -53.57140943878416, 72.90968789480802, 50.42094944612195, 267.04876265521847, 221.87952367708624, 561.983849496552, 56.59569651429646, 56.59569651429646, 379.9115320478632, 384.1865092449198, 261.69485611415655, 407.6096639993777, 0.010735418011262451, 0.01127350701205224, 0.01203178878512954, 0.0, 102.572125, 0.0, 93, 0, -9302, -18178, 18445, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 1.7499999999998295, ' 709.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-04', ' USD_JPY', 'hold', ' 102.57300000000001', ' 102.546', ' 102.7295', ' 102.4065', ' 102.56451761621588', -0.06449999999999534, -0.22949999999998738, -0.3014999999999901, 0.7905000000000086, 0.0, 0.7134999999999962, -0.0006285906413085925, -0.0022330224615787556, -0.002931524830452759, 0.007768621843536798, 0.0, 0.007006603982029275, 28.38665372543879, 3.905183674140597, -64.28569132653591, 65.46595029146238, 47.61458862351891, 256.7662000466722, 901.1353396188568, 901.1353396188568, 43.18884111800868, 43.18884111800868, 366.6665047829813, 373.4548201756, 0.010086483717814867, 0.010439812191769347, 0.010977743819781647, 0.011735803821165838, 102.557, 0.1395000000000124, -2130, 93, 0, -9302, -18178, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -2.7000000000001023, ' 15639.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-05', ' USD_JPY', 'sell', ' 102.5485', ' 102.596', ' 102.926', ' 102.4635', ' 102.65254601622632', 0.0, -0.014499999999998181, -0.17949999999999022, 0.765500000000003, 0.8405000000000058, 0.0, 0.0, -0.00014131107440269934, -0.0017465251932609449, 0.007517394100981562, 0.008259995774184254, 0.0, 28.648642454348824, 28.648642454348824, 35.19400473873305, 13.685768850994192, -46.42855484694289, 77.87217963037646, 541.6663194446951, 541.6663194446951, 957.9534568709878, 957.9534568709878, 28.648642454348824, 28.648642454348824, 0.00812624669594865, 0.010578987805598766, 0.010932488557591375, 0.011470682473566154, 102.645375, -0.1904999999999859, -10263, -2130, 93, 0, -9302, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 4.749999999999943, ' 24035.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-06', ' USD_JPY', 'hold', ' 102.5955', ' 102.1455', ' 102.623', ' 101.764', ' 102.30322915614697', -0.430499999999995, 0.0, -0.4650000000000034, 0.07099999999999795, 0.3149999999999977, 0.39000000000000057, -0.004196888160973278, 0.0, -0.0045316999722250974, 0.0006955703922135102, 0.003093375756772261, 0.0038327166590503762, -309.78697039409093, -309.78697039409093, 44.41210193107064, 44.41210193107064, -26.14022789105244, -74.43730359246273, 95.44784274659439, 264.7848388183508, 252.88445327920599, 252.88445327920599, 446.0222204292521, 446.0222204292521, 0.0030736749073231842, 0.003699554874274022, 0.0061415259746655185, 0.0064934745015346055, 102.1695, 0.05150000000000432, -3762, -10263, -2130, 93, 0, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -45.000000000000284, ' 33667.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-07', ' USD_JPY', 'sell', ' 102.1425', ' 102.134', ' 102.4615', ' 101.999', ' 102.20010148491293', -0.41200000000000614, -0.44199999999999307, 0.0, -0.7134999999999962, 0.059499999999999886, 0.30349999999999966, -0.004017709125660739, -0.004309000155981839, 0.0, -0.006937455942050087, 0.0005829075822071123, 0.0029804429910488474, -84.36529895810789, -84.36529895810789, -319.5741961070893, -319.5741961070893, 29.18918287801526, 29.18918287801526, 9.073899993086554, 115.55234022257348, 92.07045754171536, 256.8457247119657, 245.51266313291848, 245.51266313291848, 0.0, 0.0029607443596100466, 0.0035865538621780197, 0.006028250034475234, 102.18212500000001, 0.7515000000000072, -13117, -3762, -10263, -2130, 93, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -0.8499999999997954, ' 31517.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-08', ' USD_JPY', 'hold', ' 102.135', ' 102.024', ' 102.1375', ' 101.5085', ' 101.83620806655141', -0.5720000000000027, -0.5220000000000056, -0.5519999999999925, -0.751499999999993, -0.8234999999999957, -0.050499999999999545, -0.005575266092245338, -0.005090398455327419, -0.00538137576041172, -0.007312053942817043, -0.008007000656311488, -0.0004947366874194784, -95.02700648064507, -208.87972005302117, -118.42101596872084, -118.42101596872084, -413.19113770969756, -413.19113770969756, -250.7141961734997, -64.05508400680942, -1.216089689795667, 77.84961065788765, 59.765033842867055, 180.9063723900091, 0.002638678007577016, 0.0, 0.0018805391206146434, 0.0025056746160421685, 101.92349999999999, 0.8855000000000075, 27350, -13117, -3762, -10263, -2130, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -11.10000000000042, ' 42794.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-10', ' USD_JPY', 'buy', ' 102.182', ' 102.16', ' 102.18700000000001', ' 102.08250000000001', ' 102.13101527494908', 0.02599999999999625, 0.014499999999998181, -0.43600000000000705, 0.0, -0.45050000000000523, -0.6154999999999973, 0.00025456752893254206, 0.00014195436901281194, -0.004249678350033208, 0.0, -0.004390388897822398, -0.005988781372992564, 34.81080328415051, 5.096435632900679, 46.10011104771661, -31.94575407731935, -65.62160743316508, -146.4613095481108, 74.16260845681983, 74.16260845681983, -24.16609609719724, -71.60093389117539, -202.14278494900546, -30.310140204962277, 0.0008376235004824529, 0.003235769243988745, 0.003975215098938128, 0.0, 102.14737500000001, 0.0, 474, 0, 27350, -13117, -3762, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -2.200000000000557, ' 982.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-11', ' USD_JPY', 'hold', ' 102.155', ' 102.2225', ' 102.26650000000001', ' 102.02250000000001', ' 102.13305872971848', 0.19849999999999568, 0.08849999999999625, 0.07699999999999818, -0.3534999999999968, 0.0, -0.38800000000000523, 0.0019456206382811464, 0.000866508704251241, 0.0007538266492405263, -0.003446225237872376, 0.0, -0.0037812894391899975, 113.51349546685178, 71.73794058508213, 48.32431387582373, 16.530743148967577, 53.37601241257086, -18.566003688284976, -244.2551112722663, -244.2551112722663, 81.96717952164315, 81.96717952164315, -15.65690733057893, -59.375202420107684, -0.006076958603757991, 0.0014499213809521098, 0.003849534275094357, 0.004589432512247483, 102.18350000000001, -0.04400000000001114, 4610, 474, 0, 27350, -13117, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 6.749999999999545, ' 7211.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-12', ' USD_JPY', 'buy', ' 102.227', ' 102.2865', ' 102.366', ' 102.09049999999999', ' 102.24744140674328', 0.0, 0.26250000000000284, 0.1525000000000034, -0.25950000000000273, -0.28949999999998965, 0.0, 0.0, 0.002572924017878174, 0.0014931364677776588, -0.002530571645895527, -0.002822297613476736, 0.0, 71.14334985722562, 71.14334985722562, 123.68837461234105, 82.22568624807406, 62.16214872169865, 28.239474045421385, -37.151691284302245, -37.151691284302245, -189.78707252165148, -189.78707252165148, 71.14334985722562, 71.14334985722562, -0.004757943284148363, -0.005454678042733104, 0.002076914410553109, 0.004478029666946574, 102.257375, -0.12350000000000705, 3348, 4610, 474, 0, 27350, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 5.949999999999989, ' 7919.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-13', ' USD_JPY', 'buy', ' 102.28200000000001', ' 102.419', ' 102.545', ' 102.222', ' 102.36921229958519', 0.25900000000000034, 0.0, 0.394999999999996, -0.1770000000000067, -0.12700000000000955, -0.15699999999999648, 0.0025352388410336763, 0.0, 0.0038716380459499337, -0.0017252134586144363, -0.0012384685897061762, -0.0015305724535953486, 322.0092612351391, 322.0092612351391, 60.99069319173528, 60.99069319173528, 144.75355409323336, 103.93859719098346, -9.621619541271185, -27.59095424831426, 3.8699678421160093, 3.8699678421160093, -77.02121104578761, -77.02121104578761, -0.0018662807412497247, -0.003468725523106158, -0.004166362818736475, 0.0033749859171487147, 102.40124999999999, -0.20550000000000068, 1960, 3348, 4610, 474, 0, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 13.699999999998624, ' 8919.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-14', ' USD_JPY', 'sell', ' 102.414', ' 102.5115', ' 102.65950000000001', ' 102.312', ' 102.45828037383176', 0.2890000000000015, 0.3515000000000015, 0.0, 0.36599999999999966, -0.08450000000000557, -0.03450000000000841, 0.002827166230526562, 0.003440681284259999, 0.0, 0.003583124073013492, -0.0008236188545362935, -0.00033643438066826995, 200.40975393042484, 200.40975393042484, 410.5259229416826, 410.5259229416826, 57.41005542156513, 57.41005542156513, 87.01978032365707, 43.301962110610276, 10.378376134405427, 14.862744073042101, 32.50772987376832, 32.50772987376832, 0.0, -0.0009648135424737599, -0.002568705576718146, -0.003266972945380282, 102.498625, -0.2740000000000151, 1205, 1960, 3348, 4610, 474, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 9.749999999999659, ' 8132.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-15', ' USD_JPY', 'hold', ' 102.51599999999999', ' 102.357', ' 102.7185', ' 102.1365', ' 102.38842933314865', 0.07049999999999557, 0.13450000000000273, 0.19700000000000273, 0.22299999999999898, 0.2115000000000009, -0.23900000000000432, 0.0006892405156105211, 0.0013157572941378144, 0.0019283476898982257, 0.002183406113537108, 0.0020705757962905945, -0.0023295255175640795, 96.73317722933673, 165.5008198163214, 137.09010774995244, 137.09010774995244, 262.67917446967505, 262.67917446967505, 77.40538866910508, 41.13737292354403, 69.03375214973752, 10.227219148917579, -23.0270220482105, -56.04640609614086, -0.002135002339728534, 0.0, -0.0024705074042130435, -0.004071982135820254, 102.39225, 0.0724999999999909, -3498, 1205, 1960, 3348, 4610, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -15.899999999999181, ' 14441.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-17', ' USD_JPY', 'buy', ' 102.32900000000001', ' 102.416', ' 102.43199999999999', ' 102.31', ' 102.39264658634538', -0.09550000000000125, -0.0030000000000001137, 0.12949999999999307, 0.0, 0.3919999999999959, 0.2819999999999965, -0.0009316027957838998, -2.9291440064832832e-05, 0.0012660517272562173, 0.0, 0.003842233200031325, 0.0027610785830379353, 29.92804894156749, 69.37957576421788, 60.06190090962762, 113.16036801997456, 118.14877744145853, 199.51921791183102, 86.88517468428877, 86.88517468428877, 144.2766066332886, 103.44698411303078, 90.16214266764406, 51.931359218710725, -0.001754454364692647, -0.0012677237532425414, -0.0015598190609888922, 0.0, 102.3935, 0.0, 551, 0, -3498, 1205, 1960, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 8.699999999998909, ' 747.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-08-18', ' USD_JPY', 'buy', ' 102.411', ' 102.628', ' 102.6375', ' 102.247', ' 102.4747073752342', 0.2710000000000008, 0.11650000000000205, 0.20900000000000318, 0.4680000000000035, 0.0, 0.6039999999999992, 0.002647596158543146, 0.0011364578608253908, 0.0020406369911833075, 0.004581049334377482, 0.0, 0.005920175644946279, 84.45015731096875, 100.36064615100626, 90.93522563014879, 137.24384294574625, 125.69655551190122, 189.6506464029585, 522.0090698477624, 522.0090698477624, 97.56719652568523, 97.56719652568523, 177.98089380271855, 138.1876416216882, 0.004723654003357972, 0.0003119029981675355, 0.0007996411366605584, 0.0005069411948214662, 102.53512500000001, -0.009500000000002728, 5585, 551, 0, -3498, 1205, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 21.699999999999875, ' 5871.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
