'2013-07-01', ' EUR_USD', 'sell', ' 1.3007849999999999', ' 1.306815', ' 1.307105', ' 1.300725', ' 1.3042876544851467', 0.003170000000000117, 0.00515000000000021, -0.0007249999999998646, -0.005340000000000122, -0.01597000000000004, -0.021384999999999765, 0.0024316435839512422, 0.003956471135046429, -0.000554476344891831, -0.004069641162820034, -0.012073012621098696, -0.01610073784068647, 119.12071718040083, 226.95733523581262, 81.32538931848458, 89.65191801628805, 3.7273881492364165, 68.05783154937394, -19.620940135259612, -29.03604779865331, -66.91762271822766, -54.94336731371021, -124.6857943696927, -70.40811907439333, -0.022006106778823774, -0.021445874252595556, -0.02082264040671192, -0.02175353232899791, 1.305365, 0.0013750000000003482, 62214, -2225, -59267, 23467, -38392, 0.20012307692307696, 0.09635555555555557, 0.10376752136752139, -85.94576141349907, 1.295505, 1.3446449999999999, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 60.300000000002015, -93.19999999999995, ' 68437.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-02', ' EUR_USD', 'buy', ' 1.30681', ' 1.29749', ' 1.307815', ' 1.29635', ' 1.302072577279556', -0.0035199999999999676, -0.0061549999999999105, -0.004174999999999818, -0.013190000000000035, -0.01466500000000015, -0.025295000000000067, -0.002705590272173133, -0.004721377368838841, -0.0032074304832655238, -0.0100634784997101, -0.011176271096021543, -0.0191225331403063, -14.674266955690896, -103.07768071296158, -44.47290398413952, -101.00047057044675, -9.604977035816342, -22.917382658548917, -439.711639083796, -214.43655802487413, -79.51137115368667, -205.97667103041195, -133.90708400083392, -217.7100314127722, -0.03123950034718843, -0.02898474802053549, -0.02842851312848432, -0.027809726473375863, 1.29978625, 0.0008500000000002395, -62925, 62214, -2225, -59267, 23467, 0.20104846153846156, 0.09680111111111112, 0.10424735042735045, -97.09939437904595, 1.2921257499999999, 1.3457487499999998, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -93.19999999999995, 46.399999999997554, ' 78546.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-03', ' EUR_USD', 'sell', ' 1.2974700000000001', ' 1.3021099999999999', ' 1.303285', ' 1.29233', ' 1.2972734687907443', 0.0013099999999997003, 0.0010999999999998789, -0.001535000000000064, -0.01140500000000011, -0.008570000000000189, -0.010045000000000304, 0.0010070725707254768, 0.0008454969600540186, -0.0011774677922287617, -0.00868280910381694, -0.006538590655232542, -0.007655345595604408, 121.33428187495254, 64.42727593957214, 26.53856789859114, 56.526991156887924, 36.578305643758505, 61.483718472434056, -44.45044685323869, -20.027178129188844, -260.6488120615799, -118.72537488243641, -49.839114713459004, -118.31279120942588, -0.01964312603523562, -0.027790014410190196, -0.02552723353938729, -0.024969018050028026, 1.2999587499999998, -0.00456499999999993, 71691, -62925, 62214, -2225, -59267, 0.19961384615384617, 0.09611037037037037, 0.1035034757834758, -92.90325440996537, 1.2901517, 1.3454037999999997, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 46.399999999997554, -128.50000000000028, ' 91271.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-04', ' EUR_USD', 'sell', ' 1.302105', ' 1.289255', ' 1.302105', ' 1.28832', ' 1.294051502466338', -0.01756000000000002, -0.011545000000000138, -0.01175499999999996, -0.018284999999999885, -0.02425999999999995, -0.021425000000000027, -0.013437250108087235, -0.008875307503075136, -0.009035287968578228, -0.013984275815653736, -0.018469526423375408, -0.016346476638081017, -179.7777464303032, -89.91010664333061, -894.7909256186342, -378.81737568529, -88.13480700439729, -387.5678263511116, -200.81303654004955, -159.8878585688901, -195.41755234818018, -162.04569148058604, -758.8853145227563, -385.03863447032865, -0.025348034639038133, -0.029321638307483654, -0.037388097033591326, -0.03514765532621868, 1.29223375, -0.004769999999999941, -77800, 71691, -62925, 62214, -2225, 0.20032461538461538, 0.09645259259259258, 0.1038720227920228, -111.47725741446295, 1.2873850500000001, 1.34397345, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -128.50000000000028, -62.34999999999991, ' 90012.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-05', ' EUR_USD', 'hold', ' 1.289235', ' 1.283', ' 1.290555', ' 1.280615', ' 1.2851907924414505', -0.014490000000000114, -0.02381500000000014, -0.01780000000000026, -0.01866499999999993, -0.024540000000000006, -0.03051500000000007, -0.01116771612883345, -0.018223696544652564, -0.013683886838868587, -0.014339326938958898, -0.018768068280893897, -0.02323155807128207, -116.4403276028984, -80.06617800732484, -277.8169621165788, -159.80770096745948, -1389.2182436172798, -594.4918444455857, -150.90052754239295, -197.83740054363162, -273.6718267696342, -241.08377495213426, -268.87529212810153, -231.14921548004293, -0.022219173801875738, -0.0300766942473646, -0.034031019424785355, -0.042058342604137884, 1.2842924999999998, 0.0033199999999999896, -45704, -77800, 71691, -62925, 62214, 0.1983469230769231, 0.09550037037037037, 0.10284655270655271, -138.88969060263224, 1.2848825000000001, 1.3413325, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -62.34999999999991, 1.3499999999999623, ' 87874.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-07', ' EUR_USD', 'buy', ' 1.28116', ' 1.281295', ' 1.28332', ' 1.281105', ' 1.2821566750278708', -0.020814999999999806, -0.01619499999999996, -0.025519999999999987, -0.02234999999999987, -0.020369999999999777, -0.026244999999999852, -0.015985592615063098, -0.012481791767181219, -0.019528395373484376, -0.01714423788684793, -0.015649187771046912, -0.020072043685087915, -100.7293406723796, -48.28306107774552, -131.31154547278038, -94.33390205365747, -304.5406811805407, -178.86052244190023, -328.5907264784791, -670.5743756677489, -167.52640149778904, -218.41977669918967, -293.53181675227665, -263.21631490951495, -0.02241966002380443, -0.023518562974648653, -0.03136564143076919, -0.0353147116398131, 1.28175375, 0.0030649999999998734, -4458, -45704, -77800, 71691, -62925, 0.19738461538461538, 0.09503703703703703, 0.10234757834757835, -141.93790918278128, 1.2824708, 1.3382862000000002, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 1.3499999999999623, 47.70000000000163, ' 5382.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-08', ' EUR_USD', 'sell', ' 1.2812999999999999', ' 1.28607', ' 1.28821', ' 1.2811949999999999', ' 1.2849518357069283', -0.0031849999999999934, -0.016039999999999832, -0.011419999999999986, -0.014939999999999953, -0.017574999999999896, -0.015594999999999803, -0.0024704189628894156, -0.012318467717781011, -0.008801609260957684, -0.0114833859847349, -0.013481430911022477, -0.01198080919437782, -16.3219708235692, 87.5667107539719, -57.14233553322111, -6.195194267566845, -89.66341331518952, -54.3759065573266, -116.54668557818351, -497.5983198371476, -244.82026631111464, -502.6388772522126, -120.96420317695438, -160.77705168875084, -0.020894317917952928, -0.018776512955107287, -0.019879511185797512, -0.02775583333648329, 1.2853862500000002, -0.0014600000000000168, 23844, -4458, -45704, -77800, 71691, 0.1971223076923077, 0.09491074074074074, 0.10221156695156697, -116.64427703301494, 1.2810065499999999, 1.33489695, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 47.70000000000163, -84.15000000000062, ' 61159.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-09', ' EUR_USD', 'buy', ' 1.286075', ' 1.27766', ' 1.289835', ' 1.2755100000000001', ' 1.2827914017713844', -0.0053399999999999, -0.011595000000000022, -0.02444999999999986, -0.02314000000000016, -0.023349999999999982, -0.025984999999999925, -0.004162120031176852, -0.008993566051712053, -0.01877721544262763, -0.017789052890529025, -0.017947594561148632, -0.019932573668444958, -29.728071146166428, -78.54760752724802, -77.32987065744732, -87.52713148979952, -133.91023358983392, -80.32272513114923, -1811.3192632995606, -778.6168105814664, -191.56831785621915, -788.1340969855206, -392.36153751688244, -798.4163728908874, -0.022852073359132346, -0.027296985569254993, -0.02519302957243572, -0.026288814964695602, 1.2801662500000002, 9.999999999843467e-06, -58865, 23844, -4458, -45704, -77800, 0.1978569230769231, 0.09526444444444444, 0.10259247863247865, -128.64467194822984, 1.2787256, 1.3313983999999999, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -84.15000000000062, 339.84999999999934, ' 84115.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-10', ' EUR_USD', 'sell', ' 1.2776800000000001', ' 1.311665', ' 1.320735', ' 1.276505', ' 1.2918019658797517', 0.030370000000000008, 0.028665000000000163, 0.02241000000000004, 0.004850000000000021, 0.010864999999999903, 0.010655000000000081, 0.023702582153212186, 0.022342166796570667, 0.017382131541083836, 0.003711313384067386, 0.008352552275522679, 0.00818979100852421, 1379.6216875084226, 688.7865375140533, 312.3711029064147, 708.7805174570594, 169.34951505611062, 620.4474351569826, 171.470666603973, 160.5143679855585, 876.6105446210863, 393.88683613215875, 111.7742036199518, 386.6184716150037, 0.007682468223390989, 0.003154779203695609, -0.0014084346200842071, 0.0007515182958464413, 1.3051425, -0.006920000000000037, 85903, -58865, 23844, -4458, -45704, 0.19656307692307692, 0.09464148148148148, 0.10192159544159544, -7.481179595290198, 1.2801989, 1.3274696, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 339.84999999999934, -29.95000000000081, ' 145632.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-11', ' EUR_USD', 'sell', ' 1.311685', ' 1.30869', ' 1.3147099999999998', ' 1.30057', ' 1.3066611273825186', 0.022619999999999862, 0.027394999999999836, 0.02568999999999999, 0.011199999999999877, 0.001874999999999849, 0.00788999999999973, 0.017588467190743785, 0.021380712482293177, 0.02002338269680436, 0.008632051114074002, 0.0014347861020877852, 0.006065498154981342, 391.94024318967945, 232.10961696371774, 1245.31623854449, 622.95930049331, 282.4418265409836, 639.8994360917177, 107.63098446590047, 134.91202184623435, 124.84130342784493, 127.26970881460859, 641.4512686744793, 291.3078521894082, 0.0038699185744585115, 0.005396933926932091, 0.0008795142022423669, -0.003673349752382028, 1.3081649999999998, 0.023114999999999997, 22011, 85903, -58865, 23844, -4458, 0.2017946153846154, 0.09716037037037037, 0.10463424501424504, 36.99775093574477, 1.2817687500000001, 1.32283575, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -29.95000000000081, -19.249999999999545, ' 148215.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-12', ' EUR_USD', 'sell', ' 1.308685', ' 1.3067600000000001', ' 1.3100399999999999', ' 1.299935', ' 1.3051706389250624', 0.029100000000000126, 0.020690000000000097, 0.02546500000000007, 0.004650000000000265, 0.009270000000000111, -5.499999999991623e-05, 0.02277601239766458, 0.01608777127217033, 0.019874423922672038, 0.003571126863322043, 0.0071445637345953425, -4.2087058994514317e-05, 218.14856440792855, 110.10947299944604, 364.4281621074467, 216.99345672929908, 1158.1869893006774, 580.2545719386842, 131.71947312210844, 176.1708715549684, 90.79728916450968, 118.76146031578207, 94.59099387157231, 105.70258538606349, 0.004419643200282968, 0.0023894541842297565, 0.003914217559817844, -0.0005965400676077068, 1.30587375, 0.03900999999999999, 29633, 22011, 85903, -58865, 23844, 0.20133692307692308, 0.09693999999999998, 0.1043969230769231, 33.04538056549399, 1.2825778500000002, 1.31988265, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -19.249999999999545, -16.95000000000224, ' 84470.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
