year,month,day,hour,minute,second,openBid,openAsk,highBid,highAsk,lowBid,lowAsk,closeBid,closeAsk,volume,complete
2007,01,01,21,00,00,1.31945,1.32045,1.31955,1.32055,1.3187,1.3197,1.31935,1.32035,58,True
2007,01,01,22,00,00,1.31935,1.32035,1.3202,1.3212,1.31925,1.32025,1.32,1.321,217,True
2007,01,01,23,00,00,1.32005,1.32105,1.32125,1.32225,1.31997,1.32097,1.32095,1.32195,357,True
2007,01,02,00,00,00,1.32095,1.32195,1.32292,1.32392,1.32083,1.32183,1.32284,1.32384,572,True
2007,01,02,01,00,00,1.32279,1.32379,1.32335,1.32384,1.32255,1.32275,1.32265,1.32285,601,True
2007,01,02,02,00,00,1.3226,1.3228,1.32375,1.32395,1.32255,1.32275,1.32365,1.32385,379,True
2007,01,02,03,00,00,1.32366,1.32386,1.32379,1.32399,1.32335,1.32355,1.32365,1.32385,242,True
2007,01,02,04,00,00,1.32365,1.32385,1.32375,1.32395,1.32345,1.32365,1.32375,1.32395,269,True
2007,01,02,05,00,00,1.32375,1.32395,1.32389,1.32409,1.32314,1.32334,1.32385,1.32405,289,True
2007,01,02,06,00,00,1.32385,1.32405,1.32408,1.32428,1.32295,1.32315,1.32315,1.32335,425,True
2007,01,02,07,00,00,1.32305,1.32325,1.32704,1.32719,1.32294,1.32314,1.32623,1.32638,1608,True
2007,01,02,08,00,00,1.32619,1.32634,1.32815,1.3283,1.32504,1.32519,1.32754,1.32769,1623,True
2007,01,02,09,00,00,1.32744,1.32759,1.3279,1.32805,1.32667,1.32682,1.32767,1.32782,1307,True
2007,01,02,10,00,00,1.32765,1.3278,1.32886,1.32901,1.32753,1.32768,1.32796,1.32811,1561,True
2007,01,02,11,00,00,1.32799,1.32814,1.32806,1.32821,1.32661,1.32676,1.32698,1.32713,1380,True
2007,01,02,12,00,00,1.327,1.32715,1.32771,1.32786,1.32647,1.32662,1.32758,1.32773,1081,True
2007,01,02,13,00,00,1.32759,1.32774,1.32957,1.32972,1.3268,1.32695,1.32892,1.32907,2555,True
2007,01,02,14,00,00,1.32892,1.32907,1.32892,1.32907,1.32809,1.32824,1.32816,1.32831,1253,True
2007,01,02,15,00,00,1.32808,1.32823,1.3282,1.32835,1.32683,1.32698,1.32763,1.32778,1693,True
2007,01,02,16,00,00,1.32762,1.32777,1.32903,1.32918,1.32762,1.32777,1.32846,1.32861,1540,True
2007,01,02,17,00,00,1.32844,1.32859,1.32879,1.32894,1.32812,1.32827,1.32863,1.32878,924,True
2007,01,02,18,00,00,1.32866,1.32881,1.32873,1.32888,1.32754,1.32769,1.3279,1.32805,788,True
2007,01,02,19,00,00,1.3279,1.32805,1.3279,1.32805,1.32731,1.32746,1.32759,1.32774,243,True
2007,01,02,20,00,00,1.32758,1.32773,1.32779,1.32794,1.32711,1.32726,1.32779,1.32794,344,True
2007,01,02,21,00,00,1.32785,1.328,1.32799,1.32814,1.32726,1.32741,1.32726,1.32741,407,True
2007,01,02,22,00,00,1.32722,1.32737,1.32781,1.32796,1.32698,1.32713,1.32771,1.32786,357,True
2007,01,02,23,00,00,1.32776,1.32791,1.32792,1.32807,1.32687,1.32702,1.32736,1.32751,389,True
2007,01,03,00,00,00,1.32732,1.32747,1.32848,1.32863,1.32724,1.32739,1.32795,1.3281,465,True
2007,01,03,01,00,00,1.32792,1.32807,1.32833,1.32848,1.32781,1.32796,1.32828,1.32843,392,True
2007,01,03,02,00,00,1.32833,1.32848,1.32864,1.32879,1.32828,1.32843,1.32853,1.32868,237,True
2007,01,03,03,00,00,1.32853,1.32868,1.32895,1.3291,1.32831,1.32846,1.32883,1.32898,284,True
2007,01,03,04,00,00,1.32882,1.32897,1.32893,1.32908,1.32764,1.32779,1.32863,1.32878,443,True
2007,01,03,05,00,00,1.32853,1.32868,1.32863,1.32878,1.3274,1.32755,1.3276,1.32775,293,True
2007,01,03,06,00,00,1.3276,1.32775,1.3284,1.32855,1.3275,1.32765,1.328,1.32815,343,True
2007,01,03,07,00,00,1.328,1.32815,1.3282,1.32835,1.3266,1.32675,1.3279,1.32805,674,True
2007,01,03,08,00,00,1.32782,1.32797,1.32831,1.32846,1.3272,1.32735,1.32729,1.32744,1376,True
2007,01,03,09,00,00,1.32728,1.32743,1.32745,1.3276,1.3252,1.32535,1.32562,1.32577,1717,True
2007,01,03,10,00,00,1.32563,1.32578,1.32563,1.32578,1.32189,1.32204,1.3226,1.32275,2135,True
2007,01,03,11,00,00,1.32259,1.32274,1.32366,1.32381,1.32218,1.32233,1.32221,1.32236,1502,True
